Date,Open,High,Low,Close,Adj Close,Volume,Class
4/14/2016,51.66,51.98,49.91,50.040001,43.665936,19772300,Train
4/21/2016,49.689999,50.040001,48.130001,49.490002,43.186005,20397500,Train
4/28/2016,48.790001,49.93,48.25,49.16,42.898033,20835400,Train
5/5/2016,49.009998,51.139999,48.16,50.279999,43.87537,20292400,Train
5/12/2016,50.880001,51.290001,49.59,50.330002,43.918999,19023700,Train
5/19/2016,49.939999,51.049999,49.25,49.630001,43.607143,16285800,Train
5/26/2016,48.68,48.959999,47.169998,48.049999,42.511597,26753700,Train
6/2/2016,47.880001,48.34,46.830002,47.68,42.184254,19086900,Train
6/9/2016,47.689999,48.34,46.029999,47.259998,41.812664,19488300,Train
6/16/2016,46.77,49.650002,46.369999,48.860001,43.228237,20745100,Train
6/23/2016,50,50,42.939999,44.470001,39.344246,47989100,Train
6/30/2016,44.119999,45.310001,43.060001,43.18,38.202938,24641500,Train
7/7/2016,43.639999,47.380001,43.549999,46.650002,41.272976,23203700,Train
7/14/2016,47.080002,47.41,44.75,46.02,40.715588,21377500,Train
7/21/2016,45.93,46.740002,45.169998,46.32,40.981007,15961100,Train
7/28/2016,46.220001,46.950001,45.080002,45.630001,40.370533,20838900,Train
8/4/2016,45.66,47.119999,45.009998,45.439999,40.202438,20591700,Train
8/11/2016,45.709999,47.009998,45.619999,46.990002,41.573784,17981400,Train
8/18/2016,46.860001,47.98,46.080002,47.290001,41.839207,21024600,Train
8/25/2016,46.93,47.919998,46.860001,47.799999,42.602417,18750400,Train
9/1/2016,48.049999,48.700001,45.220001,45.299999,40.374264,26607200,Train
9/8/2016,45.189999,46.389999,44.110001,46.23,41.203144,30196300,Train
9/15/2016,46.220001,46.639999,45.459999,45.82,40.837719,27753800,Train
9/22/2016,46.189999,48.84,45.799999,48.779999,43.475853,37443900,Train
9/29/2016,48.5,49.639999,48.099998,48.77,43.466949,21634800,Train
10/6/2016,48.700001,49.150002,46.23,46.700001,41.622032,20104800,Train
10/13/2016,46.400002,46.990002,45.919998,46.619999,41.550724,15827000,Train
10/20/2016,46.5,47.259998,46.43,47.150002,42.023102,16382500,Train
10/27/2016,47.060001,49.290001,46.110001,48.27,43.021317,20909500,Train
11/3/2016,48.68,49.98,48,49.360001,43.992794,13984600,Train
11/10/2016,49.360001,51,49.130001,50.939999,45.400997,20468100,Train
11/17/2016,50.939999,52.43,50.860001,52.299999,46.613117,15769000,Train
11/24/2016,52.25,53.27,51.290001,51.41,46.134895,13538600,Train
12/1/2016,50.849998,53.290001,49.73,53.16,47.70533,22582100,Train
